age,income,loan,credit_score,default
25,30000,15000,600,1
45,80000,20000,750,0
30,45000,10000,680,0
20,15000,8000,500,1
55,120000,40000,820,0
35,55000,25000,640,1
22,25000,12000,580,1
40,90000,15000,790,0
28,35000,18000,610,1
50,110000,35000,800,0
19,12000,5000,450,1
60,150000,50000,850,0
32,48000,12000,670,0
24,28000,14000,590,1
42,95000,20000,780,0
38,60000,28000,630,1
21,20000,10000,520,1
48,105000,30000,810,0
27,32000,16000,600,1
52,115000,38000,830,0
23,22000,11000,550,1
46,85000,18000,760,0
31,42000,9000,660,0
26,30000,15000,570,1
44,100000,25000,770,0
36,58000,26000,645,1
22,18000,9000,480,1
49,108000,32000,805,0
29,38000,19000,615,1
54,125000,42000,840,0
18,10000,4000,350,1
43,88000,16000,740,0
33,52000,11000,690,0
25,26000,13000,560,1
47,102000,28000,785,0
39,65000,30000,650,1
20,16000,8500,510,1
51,112000,36000,815,0
28,34000,17000,605,1
53,122000,40000,835,0
24,21000,10500,540,1
45,82000,17000,755,0
30,40000,8000,675,0
26,29000,14500,575,1
44,98000,24000,775,0
37,56000,24000,655,1
23,17000,8000,470,1
50,107000,31000,810,0
29,36000,18500,620,1
55,130000,45000,850,0
30,50000,15000,300,1
22,25000,10000,300,1
45,100000,20000,300,1
18,15000,5000,300,1
35,60000,15000,300,1
35,80000.0,10000.0,750,0
30,450000.0,200000.0,677,0
30,500000.0,300000.0,500,1
